rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.00001 -11.51303211023581773986 -11.51301288380304654879 -11.51298614829450706054 -11.51296205134934602654 -11.51294078856938440936
0.01112 -4.61621563799037915032 -4.59513872424466551792 -4.56577314338511719427 -4.53923486072957249604 -4.51574493960554601557
0.02223 -4.03805678385347821546 -3.99653976533244481573 -3.93857929934343831135 -3.88605440820495529053 -3.83941422985810776325
0.03334 -3.74457173262351972198 -3.68324003579059011670 -3.59743891414489613823 -3.51946362844079718712 -3.44999881509963213233
0.04445 -3.56604353945113494717 -3.48552443100527575837 -3.37264018040659063757 -3.26975488801632030444 -3.17779633931555371973
0.05557 -3.44924382752299685251 -3.35016097557368430770 -3.21094805274384498261 -3.08369316134955573361 -2.96957513411186591057
0.06668 -3.37045549797632260081 -3.25342403568612370535 -3.08862799433559809259 -2.93754004345817776311 -2.80159823991504453033
0.07779 -3.31703106164074723594 -3.18265310506448928507 -2.99300524438599069299 -2.81861325506973381394 -2.66118291391693384540
0.08890 -3.28143164929331065949 -3.13029223236337328373 -2.91650468859763289942 -2.71932673306255212609 -2.54074072509830495292
0.10001 -3.25880946796406512078 -3.09147286638879359444 -2.85423412011340404959 -2.63477410210634044319 -2.43536103781655999256
0.11112 -3.24587246216823954725 -3.06287888484953674251 -2.80284966518449651929 -2.56159430814806166055 -2.34167666878209734804
0.12223 -3.24029266441719832059 -3.04215529621181923758 -2.75996486958096998166 -2.49738091448551102758 -2.25727322115961470672
0.13334 -3.24037276034628307642 -3.02757514389428150636 -2.72381797971818029325 -2.44034959777133497738 -2.18035663515965172365
0.14445 -3.24484625758319200628 -3.01784000475740343816 -2.69307281380562146822 -2.38913924152268419832 -2.10955435392626355906
0.15556 -3.25275159177329609150 -3.01195441727586876723 -2.66669356064608820134 -2.34268696614606586337 -2.04379044432029433054
0.16668 -3.26334943224616580437 -3.00914350316611223235 -2.64386277120949619857 -2.30014636127465665894 -1.98220393847052966940
0.17779 -3.27606638358365209740 -3.00879697947747137832 -2.62392574064112604759 -2.26083211818982432462 -1.92409359352987241465
0.18890 -3.29045543280886310100 -3.01042991119359415464 -2.60635163085564069974 -2.22418141215144160583 -1.86887941880412999929
0.20001 -3.30616736510406639127 -3.01365442725596732743 -2.59070555631334586977 -2.18972625656849162468 -1.81607519127758387789
0.21112 -3.32292956481892343135 -3.01815881653144169050 -2.57662804886818674888 -2.15707324397866484489 -1.76526837340595110781
0.22223 -3.34052991027310763883 -3.02369171180901963325 -2.56381960890761373406 -2.12588837994737955839 -1.71610513804670294924
0.23334 -3.35880425747975364104 -3.03004985640704704863 -2.55202883633497901172 -2.09588550219268299202 -1.66827899149021474656
0.24445 -3.37762650129495556328 -3.03706844126535946415 -2.54104312812759891571 -2.06681727033392403925 -1.62152197857590008034
0.25556 -3.39690052013259613517 -3.04461331797895473628 -2.53068124671765870559 -2.03846802911976165973 -1.57559777129028955045
0.26667 -3.41655351967757825449 -3.05257460249733769686 -2.52078727267631164111 -2.01064805719527184280 -1.53029615142363550895
0.27779 -3.43653043183086737145 -3.06086132500755336849 -2.51122559596700245521 -1.98318885424571034193 -1.48542853863098067713
0.28890 -3.45678912162594720314 -3.06939687803384186893 -2.50187669656034161747 -1.95593921588915953258 -1.44082431178221637147
0.30001 -3.47729622212577194063 -3.07811508207617468003 -2.49263353251817276757 -1.92876191302604782507 -1.39632773883480720833
0.31112 -3.49802346491936821948 -3.08695673574755513613 -2.48339840132848355125 -1.90153084005666261902 -1.35179537818642248048
0.32223 -3.51894440800299479477 -3.09586655156853352011 -2.47408017451466566428 -1.87412853065473616887 -1.30709384876708512024
0.33334 -3.54003148765905173434 -3.10479040344163292886 -2.46459183045447449700 -1.84644396473597516284 -1.26209789111003112261
0.34445 -3.56125333919764308632 -3.11367283011750162203 -2.45484822868256369333 -1.81837060863993849047 -1.21668866005101228289
0.35556 -3.58257234498455678917 -3.12245475256082016813 -2.44476408259676025736 -1.78980464423148055708 -1.17075220342561125975
0.36667 -3.60394237834985409208 -3.13107137333101581689 -2.43425209774405448826 -1.76064335292504114960 -1.12417809146351443950
0.37778 -3.62530671966824558083 -3.13945023382457621963 -2.42322125064072446676 -1.73078362845355004929 -1.07685816942920431494
0.38890 -3.64659612677557865013 -3.14750941113135462857 -2.41157518903076262262 -1.70012059819136984729 -1.02868541207743624533
0.40001 -3.66772704640165203571 -3.15515584080286481949 -2.39921073907282833559 -1.66854633746273339767 -0.97955286314396172731
0.41112 -3.68859995679674490532 -3.16228375535430172860 -2.38601650850667157400 -1.63594866486085854795 -0.92935264671445783069
0.42223 -3.70909783445579854799 -3.16877323107199293517 -2.37187157763251876830 -1.60221000941601254830 -0.87797504015498639696
0.43334 -3.72908473998319944798 -3.17448883785699864646 -2.35664427212493832187 -1.56720634266612424135 -0.82530760052835416829
0.44445 -3.74840451982976397005 -3.17927838854076361130 -2.34019101343211133326 -1.53080617043763544949 -0.77123433819902642572
0.45556 -3.76687962197382653073 -3.18297178546225634221 -2.32235524388555392150 -1.49286958054018970010 -0.71563493274776135422
0.46667 -3.78431002468817556661 -3.18537996317592408957 -2.30296642474148649526 -1.45324734369365793363 -0.65838398745338211349
