rho_b LJ_p LJ_err
0.05 0.06874212918455729 3.00004869035503e-08
0.1 0.1277413175800008 8.092488326075387e-08
0.15 0.17844780034034355 1.4564848208071815e-07
0.2 0.22519359853221588 2.727659768189713e-07
0.25 0.27131655704512964 4.2455462074512276e-07
0.3 0.319005370527955 5.648090300347031e-07
0.35 0.3751129028104213 9.83725398294041e-07
0.4 0.44448636358019916 9.924831882898784e-07
0.45 0.5422157575851219 1.3369877539901525e-06
0.5 0.6763320535569106 1.155757866990983e-06
0.55 0.866024544481853 2.1938452453283063e-06
0.6 1.1465194546669517 2.2794949308917647e-06
0.65 1.5456346279831745 5.789803630155308e-06
0.7 2.109440613177978 8.713700393878395e-06
0.75 2.8883955756084085 3.4438481362419178e-06
0.8 3.951113094259548 6.677452120326974e-06
0.85 5.371852015726606 5.435490812367634e-06
0.025 0.03593989095958705 7.102356166453029e-09
0.075 0.09867458753557515 2.889798706434456e-08
0.125 0.15283826469607953 1.1830094383691191e-07
0.175 0.2018637650852873 2.030748962439317e-07
0.225 0.2473891391220479 3.249487920323189e-07
0.275 0.2948617149464029 5.076592813698629e-07
0.325 0.34606267296296833 4.5867764236323954e-07
0.375 0.40755837404519274 9.256502958376261e-07
0.425 0.49030659322544357 5.705483465755995e-07
0.475 0.6017766081447231 1.5065159527395571e-06
0.525 0.7620790534593004 1.498316208608895e-06
0.575 0.9946650835813386 2.255861124323828e-06
0.625 1.3280189731613654 1.4412926821040351e-06
0.675 1.8047565283071023 2.6418340847799092e-06
0.725 2.4686581617620043 4.343615207323891e-06
0.775 3.382000033668559 4.317078260040441e-06
0.825 4.612065292584296 4.905018174641601e-06
0.875 6.242291597413867 5.750045262442662e-06
0.9 7.237589277153655 6.468362347867975e-06
0.925 8.365110903445704 6.626958717182121e-06
0.95 9.63148525759499 8.581026450153667e-06
0.975 11.078551335668937 8.884797601264213e-06
1.0 12.700767820936639 5.701085246879632e-06
