rho_b P_T0.900 P_T1.000 P_T1.200 P_T1.500 P_T2.000
0.00100 0.00025917670932059397 0.00023109627954205679 0.00019028493578871885 0.00026775554728751321 0.00104631014546447874
0.02343 0.02437014827270088044 0.02714076224166578344 0.03265938309493093133 0.04079452923189395147 0.05359443842043595807
0.04586 0.04837760328777838265 0.05378138457415924945 0.06450268435628753183 0.08022029134121999583 0.10512252830472564036
0.06829 0.07436417064978941005 0.08268394012237256785 0.09934401771486738031 0.12424178063334762045 0.16462804550533427506
0.09071 0.10213366015868008407 0.11337865276180542073 0.13588849087641496904 0.16965245239941106892 0.22558551558706230189
0.11314 0.13269126497132685549 0.14710864422813174635 0.17592768059594501850 0.21908163150865345159 0.29053434781777826013
0.13557 0.16666979773239634643 0.18459478299482945385 0.22041341634413419426 0.27403611749228312666 0.36278634468902437593
0.15800 0.20443179247981979607 0.22618882257525091406 0.26967347893274473680 0.33483099812373157134 0.44283945330076407432
0.18043 0.24641609768744510145 0.27231977490906877915 0.32409688869194347438 0.40177300569450596912 0.53084406844197973285
0.20286 0.29315465908815885321 0.32354087960701649607 0.38423914974330131145 0.47537006221621630475 0.62719713985285108215
0.22529 0.34512239756246476663 0.38040192496305724745 0.45073673508799583232 0.55627278898569565424 0.73247167295701831602
0.24771 0.40255644648572164179 0.44325544899796825993 0.52414125608672690326 0.64518584703346626430 0.84733366293409628778
0.27014 0.46550257848956910767 0.51221376141322683129 0.60475658656234787536 0.74272307349923294417 0.97252644701152402007
0.29257 0.53417015667226375175 0.58745638432432134568 0.69275139679542308002 0.84926989193129498457 1.10884670541218754991
0.31500 0.60916133410301376294 0.66956746365091635020 0.78858468501126788297 0.96514640602137369285 1.25703466834442956213
0.33743 0.69132126868005983056 0.75946980326508950476 0.89322109949213812641 1.09106657652475136366 1.41774998255625694910
0.35986 0.78150788142304461470 0.85814265428970404326 1.00789660612127041084 1.22832427799953247671 1.59187844887082796674
0.38229 0.88052635580955884720 0.96647730000919174209 1.13381553874396878712 1.37851496072169577012 1.78090911961570386168
0.40471 0.98918273818863577951 1.08530039610443140852 1.27203099648611095418 1.54320712246877222995 1.98683252088760342602
0.42714 1.10834762008330534044 1.21547014890689619726 1.42348000414974507066 1.72381474534337586491 2.21174728536143483382
0.44957 1.23898500203173167478 1.35795768308528530532 1.58909032242511294442 1.92159658209438832799 2.45762149675385010994
0.47200 1.38214434832964472299 1.51387545331567663354 1.76989838658947906680 2.13771355609369795303 2.72622910738488988258
0.49443 1.53897965385390289583 1.68448373036240517386 1.96715276993514853743 2.37330911469030692018 3.01919863839788771287
0.51686 1.71079930847208894207 1.87120950298654142863 2.18237571943636110561 2.62964895860879188660 3.33804549990019339134
0.53929 1.89914368686439294365 2.07569610462131359796 2.41738656422659570211 2.90827828871981886039 3.68426344798316218743
0.56171 2.10586901326767561571 2.29988916692063538605 2.67433280546741247719 3.21118843741576043271 4.05942699523595340594
0.58414 2.33318982313773126691 2.54609580867311802166 2.95572676112463117448 3.54092748403836310445 4.46536795225400595655
0.60657 2.58364108726129737548 2.81698364716052518375 3.26447905889929579359 3.90063662587437010032 4.90437214323848635900
0.62900 2.85996178004846113296 3.11549652624136097501 3.60386742271769833224 4.29403874755716152833 5.37941496978481481506
0.65143 3.16486537503576803587 3.44463804427124742347 3.97740088155413973325 4.72530526801019057359 5.89434002926568112457
0.67386 3.50074867396834843447 3.80718532089617411884 4.38854388904641012914 5.19884061861410984307 6.45391677826440890442
0.69629 3.86943941038008443201 4.20539499868138300087 4.84039389074650117095 5.71900313872912491320 7.06377582783356672280
0.71871 4.27198165494216031135 4.64072738886642532918 5.33530249036124981643 6.28962892361478154157 7.73005994241515992371
0.74114 4.70857918281417120454 5.11375739762181780179 5.87468211291478592528 6.91366903882733829789 8.45889695880909897596
0.76357 5.17861829858019007133 5.62416505876588068702 6.45887241434510706029 7.59281101066098695895 9.25566506924743315210
0.78600 5.68083343907747284618 6.17087672672622566949 7.08726924336263408577 8.32742511450777556092 10.12436550661438516840
0.80843 6.21348311900204919311 6.75224372415089391097 7.75851771530565770263 9.11670360194792905872 11.06710406556166859104
0.83086 6.77454163433515077486 7.36623562848111301804 8.47072896559513388581 9.95894629227829142337 12.08394495848799721216
0.85329 7.36187880447782561077 8.01061932973464863039 9.22168523185235500250 10.85194698448176708894 13.17312865123873599771
0.87571 7.97340261074508838135 8.68311092224115554927 10.00897825433912657900 11.79326988338489279329 14.33160428121533769286
0.89814 8.60717639731020156546 9.38150750981071368528 10.83011942917107006679 12.78040793643215877751 15.55564140183162535891
0.92057 9.26149494322105049093 10.10381536290793036414 11.68268596998868957826 13.81088835249242130487 16.84152403387111718303
0.94300 9.93488245110546230876 10.84823773146883496565 12.56434084570530984593 14.88222327953909385201 18.18586205601869210113
0.96543 10.62613579887298698168 11.61328624992429503493 13.47299596243233565929 15.99189960438843804980 19.58587842697811964854
0.98786 11.33427897527635153097 12.39769630169784342399 14.40678223208865915694 17.13747504956477740734 21.03935940022063988408
1.01029 12.05853320438186671026 13.20048277931424962617 15.36416466264445901402 18.31661891682001908066 22.54439620184048465035
1.03271 12.79826513217397376820 14.02083849941738336042 16.34381916737053686006 19.52715558972425569095 24.09916619335510645783
1.05514 13.55302718611917001112 14.85815515867762570679 17.34473536442902030785 20.76721512904185118487 25.70177533714703344003
1.07757 14.32244143405477743158 15.71193938010161872398 18.36609533911445879539 22.03512145577975545052 27.35012607763144387718
1.10000 15.10620918502534948402 16.58181608375765136998 19.40724566588139055057 23.32959864751599354804 29.04195024384803858197
