xB rhobar mu_A S_A S_B omega gamma GammaA_B
0.02 0.74629459351222482422 -3.38845536632036559155 0.99179458614447668641 1.40206527892064669594 -0.03756988427626239968 0.06423538292790934023 -1.88548590201092025609
0.06 0.73904058806216621491 -3.41557334116909094845 0.97404874681638553557 1.40656963320996064581 -0.10060941303037651551 0.03996516435757539731 -1.88452835914859706534
0.10 0.73190444203550364399 -3.43929948179845768053 0.95533199401116430938 1.40201205389952110458 -0.15756885692266564547 0.01803577845904408283 -1.84240340279901104736
0.14 0.72492130916094055237 -3.45995418136806165421 0.93474488497928009956 1.40085284941299414996 -0.20268556734863807378 0.00066584494504469405 -1.81703624197392543671
0.18 0.71813063546730881992 -3.47787662563342836464 0.91350656503617588822 1.39402564816853247187 -0.24025675206869223643 -0.01379906117217614969 -1.76747712165387205197
0.22 0.71157624531140706292 -3.49342533584480330333 0.89241553612246748983 1.38143582647488849524 -0.27088255121662641045 -0.02558999384413081224 -1.69431735104725067487
0.26 0.70530627424395353486 -3.50697901170381509672 0.87293825705640959445 1.36163726837791121405 -0.29538134839246765750 -0.03502203075682969180 -1.59208539192233167192
0.30 0.69937289068655350555 -3.51893797056242307875 0.85735738986987530819 1.33283275697029113260 -0.31467596526557883863 -0.04245045825297749653 -1.45376838231266658497
0.34 0.69383174262762215001 -3.52972665266009677509 0.84484144795443782971 1.30119013044138576163 -0.32971548450776921868 -0.04824067316122079840 -1.30639348803492305606
0.38 0.68874106669861290264 -3.53979792286542194191 0.84415329366175639869 1.25427620507818748941 -0.34152778685028195582 -0.05278840956308819554 -1.09676600127245382765
0.42 0.68416040952844525691 -3.54964028888117555383 0.85271310645670761463 1.20339618632168932066 -0.35101265429630501558 -0.05644008352980708909 -0.87326085621081195320
0.46 0.68014893964075129329 -3.55978973957593103350 0.86870702120727949502 1.15412654032188877196 -0.35876653334345931512 -0.05942532696296148886 -0.65917364362424790691
0.50 0.67676337503618677616 -3.57084879514966946346 0.89011556550171921920 1.10988443449828100285 -0.36516678613690345401 -0.06188942428843746679 -0.46844569839067484729
0.54 0.67405561544069947377 -3.58351675448280149183 0.91478922594896117104 1.07258695567310735619 -0.37038934570590953399 -0.06390010972250481647 -0.30863690142323529919
0.58 0.67207024082873334514 -3.59863741943348225405 0.94082360804409193022 1.04285187003703683217 -0.37446331307333835525 -0.06546858715896491931 -0.18184696337187439275
0.62 0.67084210366304852791 -3.61727459130900097506 0.96678926153927702281 1.02035496873399167406 -0.37730237258039167614 -0.06656162506918045230 -0.08627241255083209492
0.66 0.67039428086288976871 -3.64083315594434520079 0.99170665917129285916 1.00427232709357627805 -0.37875221217094079407 -0.06711981331154184827 -0.01810069204312525493
0.70 0.67073664396247512087 -3.67125869105323232588 1.01505188775391808065 0.99354919096260652100 -0.37860022541102722471 -0.06706129840897512295 0.02734538667695944614
0.74 0.67186524365612310117 -3.71138127953884522370 1.03662771554664789875 0.98713080264577235390 -0.37657717222241515742 -0.06628242293135946928 0.05463982496042522896
0.78 0.67376259610947697443 -3.76554659239512057312 1.05642768277551413192 0.98408449972998313093 -0.37239535406378365678 -0.06467242294028635596 0.06775431995325489898
0.82 0.67639882776207005399 -3.84088130943405481332 1.07452264826524235275 0.98364136989299544300 -0.36571845694589555364 -0.06210181754989943514 0.06990404165057299835
0.86 0.67973351585787822327 -3.95016344796822416185 1.09101398726742604417 0.98518376951460506774 -0.35618667438620832399 -0.05843208126441984396 0.06362144609384288996
0.90 0.68371798229708224959 -4.11962621805852702295 1.10601697723101799475 0.98822033586322022281 -0.34341767522144905911 -0.05351601658598753586 0.05088138963277635818
0.94 0.68829777265264879826 -4.41760612259593088424 1.11961058393511003750 0.99236528187648254118 -0.32695492423171934604 -0.04717785745494160188 0.03320496379921782093
0.98 0.69341507682316194661 -5.16210840453271302408 1.13186063055624241969 0.99730896672334201636 -0.30635995027965989834 -0.03924879248339870064 0.01179496418828748436
