rho_b WCA_p WCA_err
0.05 0.055839748536209786 8.479948812396675e-09
0.1 0.12493290415525335 2.9046027644043083e-08
0.15 0.21088951236122072 5.641385771765564e-08
0.2 0.3173828842747458 7.319115780473811e-08
0.25 0.44826211306863956 1.2823373295140833e-07
0.3 0.6109370142285802 1.7838783163795064e-07
0.35 0.809849019524157 2.912404192548182e-07
0.4 1.0534903490293066 4.255544327372404e-07
0.45 1.3559647895460871 4.815106917661412e-07
0.5 1.7257070484078718 9.038773114188851e-07
0.55 2.1842653194097768 1.0351049674938689e-06
0.6 2.739141520698778 1.8372695979545546e-06
0.65 3.4289838267690724 1.4454613601011848e-06
0.7 4.275689584265135 1.6582762890568335e-06
0.75 5.318813405291027 2.2579010377271078e-06
0.8 6.6064809163848 2.556713838345178e-06
0.85 8.187521811932356 2.899828411155155e-06
0.025 0.026455975724637287 3.463143345198356e-09
0.075 0.08905518004325322 8.00814442729182e-09
0.125 0.16596920461679907 3.352423047315575e-08
0.175 0.261256308572984 7.728002090295244e-08
0.225 0.3796746101848562 1.2364282834999764e-07
0.275 0.5253084409782339 2.3352984816541058e-07
0.325 0.7045932289940401 2.5361900224918565e-07
0.375 0.9258981801223498 3.2987679824713893e-07
0.425 1.197171262690772 4.921858156149745e-07
0.475 1.5324693748472042 8.184074565761722e-07
0.525 1.9415338372386788 6.567929558962867e-07
0.575 2.4468721911960123 1.1011569355660618e-06
0.625 3.0689840723807684 1.2218233110845179e-06
0.675 3.8316419535933592 1.6590556940473844e-06
0.725 4.769812775486954 1.4688642110814356e-06
0.775 5.929635854798642 1.8349910346303563e-06
0.825 7.355284656451407 2.8627934398875393e-06
0.875 9.112585838377896 3.747270184111365e-06
0.9 10.14060938945167 3.962004465894869e-06
0.925 11.27892152829825 3.910655410266293e-06
0.95 12.54148069181116 4.228290618157291e-06
0.975 13.943346522457484 4.914626787499737e-06
1.0 15.506609095648235 2.8390495066964327e-06
