rho_b P_T0.900 P_T1.000 P_T1.200 P_T1.500 P_T2.000
0.00100 0.00089590221489246403 0.00099664888495669466 0.00119808639794891135 0.00150014596643876824 0.00200328495655076842
0.02343 0.01855018006996597343 0.02112331472826652068 0.02620949153550658148 0.03374370802927266488 0.04615937090191009340
0.04586 0.03183898895868403356 0.03724789226052378777 0.04786046237158984168 0.06345231939092675633 0.08895114885300625662
0.06829 0.04122225397921562562 0.04976809856995777909 0.06646357632148200412 0.09086882433891926847 0.13057959054873155558
0.09071 0.04716128858385455064 0.05909039375287284540 0.08235136515169272364 0.11626725071322259464 0.17128776295040851196
0.11314 0.05010256708446617774 0.06561776632961387190 0.09587012302382999507 0.13995253638927465656 0.21136611499672491865
0.13557 0.05046315844228370373 0.06973796561089287693 0.10737243898158568833 0.16225747758174452473 0.25115388605112237697
0.15800 0.04861822561042401097 0.07181277069249258904 0.11720928719730672185 0.18353790800532479577 0.29103771212760076725
0.18043 0.04489121150370416202 0.07216905885689481326 0.12572261872569687191 0.20416717207573656379 0.33144851501167676977
0.20286 0.03954737407430139462 0.07109245542156497621 0.13323938819763550545 0.22453092216499914713 0.37285771329465511315
0.22529 0.03279127175242718684 0.06882427599361184978 0.14006786706197954517 0.24502318432895703326 0.41577371441833654853
0.24771 0.02476868378499505474 0.06556235190422388115 0.14649697384421286883 0.26604452197753314380 0.46073954743567557824
0.27014 0.01557330741886769898 0.06146618634687597837 0.15279921194518300553 0.28800299755787261979 0.50833238679933112625
0.29257 0.00525842337258269898 0.05666673827208854042 0.15923765936329020709 0.31131849779163833780 0.55916560418344829486
0.31500 -0.00614642713595492385 0.05128098250827822779 0.16607730976072587747 0.33643085393684590834 0.61389387191078315098
0.33743 -0.01861385110748642324 0.04543125264385805551 0.17360092447198555154 0.36381205806192662422 0.67322173024466369640
0.35986 -0.03209232631588393447 0.03926923994829634168 0.18212942217730240801 0.39398275098228929814 0.73791592285611040669
0.38229 -0.04647558649678440457 0.03300439740752852957 0.19204670752913860499 0.42753303790539504137 0.80882170080231508003
0.40471 -0.06156812934495003997 0.02693638224718497565 0.20382872177219057974 0.46514757398565209634 0.88688319558998807146
0.42714 -0.07704741081785304591 0.02149106209586237881 0.21807638670600876241 0.50763475364434540449 0.97316786638486207917
0.44957 -0.09242338597189991845 0.01725950801792297540 0.23555200744119592082 0.55595973429678902100 1.06889493512908195783
0.47200 -0.10699614812163693589 0.01503930086877747208 0.25721859855779116710 0.61128092670102673889 1.17546763621155370139
0.49443 -0.11981250577501312282 0.01587738479590439233 0.28428150188023260103 0.67498949025309040728 1.29450902444096671573
0.51686 -0.12962242157252079622 0.02111361245896881123 0.31823157173033456147 0.74875128211658403821 1.42790100654818630233
0.53929 -0.13483632005108070473 0.03242404019321987185 0.36088911505296644711 0.83455062421012216056 1.57782618759582637935
