rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.00001 -11.64598797665274076962 -11.68063070283567839169 -11.74106477592623143380 -11.81134246705210166795 -11.88097732172644072079
0.01112 -4.45053091502253916900 -4.45030611622397831439 -4.45016124713485172748 -4.45128896713321164924 -4.45691153276030949115
0.02223 -3.71189664210039671488 -3.71220572192627473740 -3.71299911947208904905 -3.71527840102869566508 -3.72238667209106965927
0.03334 -3.25236244171262933733 -3.25341896408201414204 -3.25553179960848027008 -3.25947080247999387836 -3.26882020818592256006
0.04445 -2.90842902049231177841 -2.91014372715162883409 -2.91336380830216068460 -2.91861271253037113382 -2.92962508812355659771
0.05557 -2.62803948931644892895 -2.63036705075453269842 -2.63457639025400602861 -2.64092380778740398739 -2.65322024630259001299
0.06668 -2.38796819847965036132 -2.39090533644103775401 -2.39606972152137531751 -2.40342916655683280780 -2.41683395308398996093
0.07779 -2.17566820853866227381 -2.17923936128533979328 -2.18538168018973966156 -2.19375106584943413424 -2.20822748410619418280
0.08890 -1.98347670232810835422 -1.98772746699609625942 -1.99490869438209394993 -2.00433499019899219462 -2.01992649209060548543
0.10001 -1.80630554755984529258 -1.81129833027182796101 -1.81960382052718383505 -1.83016647865830650588 -1.84695692833720426229
0.11112 -1.64056998253435759594 -1.64637744182915368718 -1.65591639054388672925 -1.66771429539293913891 -1.68580871576637902898
0.12223 -1.48362456232942174772 -1.49033646238483008517 -1.50123678100741919650 -1.51438514900840348609 -1.53389690805114331518
0.13334 -1.33345249081099304078 -1.34117164969885638293 -1.35358372092688372668 -1.36821737623656081162 -1.38926365733588030871
0.14445 -1.18847044955141467604 -1.19731637476332108960 -1.21141680763609338456 -1.22768875645048547440 -1.25039240418322017412
0.15556 -1.04740613407296523363 -1.05751567799252854662 -1.07351058406037669357 -1.09160130948228228931 -1.11609488445920335131
0.16668 -0.90922370840371835587 -0.92075065077604034691 -0.93887463499368417619 -0.95899668611348853897 -0.98542836583913551163
0.17779 -0.77306942631243413810 -0.78617684520720199082 -0.80669562508104986076 -0.82909826900004102157 -0.85764245666502669785
0.18890 -0.63824432381559847993 -0.65309756311346534030 -0.67629563149382110332 -0.70126532873083591291 -0.73213147458006377910
0.20001 -0.50419456820963926003 -0.52094299631594720434 -0.54710800462245046116 -0.57496673875330972514 -0.60840828233241128764
0.21112 -0.37051009344631768982 -0.38926910566860772889 -0.41866158651882745545 -0.44974993872219659607 -0.48607157849842647090
0.22223 -0.23692589537353814233 -0.25775604979248345483 -0.29057842032165825952 -0.32522850839348138585 -0.36478691832275689233
0.23334 -0.10331021247231708671 -0.12620984039628255213 -0.16257606492364151674 -0.20107828054749712909 -0.24426876006448014489
0.24445 0.03036915750261641109 0.00545203180071211508 -0.03446996717694901513 -0.07703054433110856358 -0.12426841764691971826
0.25556 0.16410618409013147390 0.13725000008439416921 0.09383659967278833169 0.04712086280679102929 -0.00455922499800328045
0.26667 0.29792364788291536559 0.26919468641517246832 0.22238095927474579860 0.17151292538879003846 0.11506112790343854535
0.27779 0.43192384544186568363 0.40135047736935591800 0.35118792334370596553 0.29622886529736502936 0.23477671399884206260
0.28890 0.56630508860308237384 0.53386776407915659259 0.48032467302042541890 0.42131535967547006916 0.35474674686152046776
0.30001 0.70133941812253286496 0.66697972507214831062 0.60992878122067739621 0.54681723756528188840 0.47510045261121081062
0.31112 0.83733193662274274516 0.80097954037297169894 0.74022166540730383044 0.67282216336834810289 0.59593813231099024286
0.32223 0.97459237656585662180 0.93617670640937777904 0.87148563942901580148 0.79948632845870926111 0.71734540591232254236
0.33334 1.11339826139378272885 1.07286304983067237728 1.00402469166683894208 0.92703027352261302418 0.83940786894726515666
0.34445 1.25398926912827124447 1.21129541527313810967 1.13813524447960445762 1.05572037874741142538 0.96223788439316315646
0.35556 1.39656975139509387240 1.35168888462911795934 1.27408411420713574280 1.18584563626180816698 1.08599164379964974181
0.36667 1.54131536792842216421 1.49421696971980400015 1.41209559725848499134 1.31768160175410598001 1.21087246250239699563
0.37778 1.68838411601997862022 1.63902932437874326865 1.55235296544052636669 1.45148307093597916939 1.33711582430817155220
0.38890 1.83792295959184959209 1.78624859335611652078 1.69500127365778285871 1.58746710350702602277 1.46496620681474998271
0.40001 1.99007769731763728416 1.93599577979329962041 1.84015389565709952535 1.72581835870031241598 1.59466143707517526984
0.41112 2.14499750906424591079 2.08838692552046856221 1.98790636998610570352 1.86668697220282631122 1.72641936308341104045
0.42223 2.30283038422490982100 2.24354522058393390793 2.13833992239858527995 2.01019541999723339032 1.86042873618032378324
0.43334 2.46373253519235424491 2.40160613686738777517 2.29153209407029923028 2.15644674904046818043 1.99685149867234978949
0.44445 2.62786016245592879415 2.56271133108843596204 2.44756564827669897966 2.30551967402209090352 2.13582453485239787128
0.45556 2.79536710187574266584 2.72700963374753824198 2.60653076550145978985 2.45748219892164110334 2.27745852944036375476
0.46667 2.96641556661767102909 2.89466444843453540869 2.76853720563096139529 2.61239592450303170779 2.42185227339905839727
