rho_b LJ_p LJ_err
0.05 0.04058635824541293 1.5361311148084342e-08
0.1 0.06289524015781854 5.363524653017954e-08
0.15 0.07165854557642892 1.3432421845209595e-07
0.2 0.07093144236146133 2.1993178307278696e-07
0.25 0.06514174834160305 4.360820435183323e-07
0.3 0.05747976610670799 3.95206131361886e-07
0.35 0.04697893108997477 8.873053328527312e-07
0.4 0.03500338685027418 7.321111724192359e-07
0.45 0.02045872526744828 9.650628427959524e-07
0.5 0.017231725264329364 7.616414336985326e-07
0.55 0.03294268304320619 1.2567177404128804e-06
0.6 0.10113057377393746 1.6412320172508846e-06
0.65 0.252967177792149 1.8849262906837644e-06
0.7 0.5296060081034172 1.7204781713846038e-06
0.75 0.990347222466765 2.2264443739223984e-06
0.8 1.691512449612691 2.0766323470417137e-06
0.85 2.709574595012326 4.546737797866345e-06
0.025 0.022615807201794368 4.7615125498804385e-09
0.075 0.05343765504093068 3.1757094111418166e-08
0.125 0.06841146174645374 7.944979015196824e-08
0.175 0.0719877561118015 1.572800683898418e-07
0.225 0.06819602997694245 4.5948116527329007e-07
0.275 0.06116082850399566 3.8778366681888245e-07
0.325 0.052132397762860126 6.054404007994481e-07
0.375 0.040172112134531465 6.48650386769917e-07
0.425 0.026282304703919117 3.713636619135277e-07
0.475 0.01715469315997115 9.728526391811256e-07
0.525 0.02049284314594365 1.4113892807677117e-06
0.575 0.05814610633954295 5.118881570185477e-07
0.625 0.1626294843686455 1.6715518069914738e-06
0.675 0.3726451696070939 1.9381538788802266e-06
0.725 0.7320691452406834 2.1759758788774465e-06
0.775 1.3068158749277892 2.6796089151207267e-06
0.825 2.1529990290474004 2.771756289251545e-06
0.875 3.36123201778107 3.2574937113433714e-06
0.9 4.129472227318573 3.2972786075165027e-06
0.925 5.023580787769825 5.237153806724058e-06
0.95 6.055179290656885 3.849448576942325e-06
0.975 7.243702081686429 3.500042193917902e-06
1.0 8.613414102900919 2.6740085772303246e-06
