rho_b WCA_p WCA_err
0.05 0.11055307005308687 1.9274333428731673e-08
0.1 0.2457764674968745 1.0388747041479179e-07
0.15 0.4102813082629667 1.8839878416242995e-07
0.2 0.6118633659257214 3.724477299287759e-07
0.25 0.8558554214631525 3.3727443171291304e-07
0.3 1.1502233321647006 4.5748514536820657e-07
0.35 1.5111951864698365 5.537153431673702e-07
0.4 1.9421856814239533 1.2977853525175224e-06
0.45 2.463124582286462 1.808035325382799e-06
0.5 3.092621676399198 2.1813282147395875e-06
0.55 3.8541988273237604 3.319164488614415e-06
0.6 4.770710769963006 3.2511427864935492e-06
0.65 5.883145180632308 3.2465771561655735e-06
0.7 7.212138794946984 5.016330864031549e-06
0.75 8.811301372761882 6.215850633177404e-06
0.8 10.747902065948269 7.350544728520588e-06
0.85 13.071057040066629 6.5077206004262835e-06
0.025 0.05257160891923619 9.179072614106884e-09
0.075 0.17493505387670444 4.780287995719015e-08
0.125 0.3249895914062365 1.2543842244208726e-07
0.175 0.5059686430786593 2.2456767763399047e-07
0.225 0.7271555581254774 5.348591536397724e-07
0.275 0.9969496010728193 4.964343834531112e-07
0.325 1.3207242756646818 8.200736247073202e-07
0.375 1.7125945394811395 7.78892367642242e-07
0.425 2.191655678191085 7.456897647016724e-07
0.475 2.764411476494476 2.067914534805893e-06
0.525 3.458396126792162 2.6442472074874135e-06
0.575 4.292081305206181 2.2387627262714535e-06
0.625 5.300124514426702 3.193061047271324e-06
0.675 6.517611402307737 4.600384967525307e-06
0.725 7.978558911890667 4.3700594154281385e-06
0.775 9.736365692048908 8.42422217059183e-06
0.825 11.853856691003603 7.80707162143364e-06
0.875 14.39987695863592 4.222526252798768e-06
0.9 15.859837485168741 8.686676933723814e-06
0.925 17.455726814761302 4.174344635682954e-06
0.95 19.208094864419078 9.613327609099246e-06
0.975 21.123261557974427 1.3227037468083377e-05
1.0 23.223075595636224 2.0084197630192074e-05
